TerraIndigena,Legal stability,Environmental integrity,Environmental integrity in the buffer zone,Territorial integrity,Absence of threats due to infrastructure projects,Absence of pressure from infrastructure projects,Governance,lat,long,population,area
Acapuri de Cima,0.4,1,0.99,0.4,1,0.78,0.55,-2.62075,-66.81031,237,18270
Acimã,1,0.99,1,0.4,1,0.83,0.5,-7.87603,-66.14375,89,40686
Água Preta/Inari,1,0.98,0.84,0.79,0.78,0.78,0.63,-7.50521,-67.12749,349,139763
Alto Rio Guamá,0.8,0.69,0.44,0.5,0.5,0.78,0.63,-2.44048,-46.68709,1727,279897
Alto Rio Negro,1,0.92,0.94,0.78,0.83,0.83,1,0.48702,-68.5407,26046,7999380
Alto Rio Purus,1,0.94,0.71,1,1,0.5,1,-9.313,-70.09346,1871,263129
Alto Sepatini,1,1,1,0.82,1,0.83,0.5,-8.02341,-66.3433,75,26095
Alto Tarauacá,1,0.99,0.99,0.43,1,1,0.5,-9.61541,-71.91028,,142619
Alto Turiaçu,0.8,0.87,0.39,0.28,0.72,0.78,0.98,-2.84027,-46.25167,1500,530525
Anambé,1,0.88,0.37,0.5,0.94,0.72,0.1,-2.85713,-49.31299,161,7883
Ananás,1,1,0.9,0.72,0.83,0.78,0.63,3.85978,-61.41816,9,1769
Anaro,0.8,0.91,0.91,0.44,0.83,0.78,0.65,3.90255,-60.95369,42,30473
Andirá-Marau,1,0.87,0.83,0.5,0.61,0.78,0.9,-3.73007,-56.9248,13350,788528
Aningal,1,0.96,0.82,0.72,1,0.78,1,3.46294,-61.39842,245,7627
Anta,0.8,0.78,0.8,0.72,0.83,0.78,0.64,3.36509,-61.14389,183,3173
Apiaká do Pontal e Isolados,0.1,0.95,0.94,1,0.78,0.56,0.4,-8.39594,-58.07077,262,982324
Apiaká-Kayabi,0.8,0.95,0.62,0.5,0.83,0.56,0.63,-10.94826,-57.40541,885,109245
Apinayé,1,0.72,0.53,0.29,0.22,0.72,1,-6.11074,-47.65156,2342,141904
Apipica,1,0.34,0.35,1,1,0.78,0.1,-3.37251,-59.3311,86,652
Apurinã do Igarapé Mucuim,1,0.99,0.93,1,1,0.83,0.5,-7.5751,-66.02122,93,73350
Apurinã do Igarapé São João,1,0.99,0.77,0.5,0.78,0.78,0.5,-5.60831,-63.13074,142,18232
Apurinã do Igarapé Tauamirim,1,1,0.8,0.89,0.78,0.78,0.5,-5.67999,-62.99234,295,96456
Apurinã km-124 BR-317,1,0.92,0.59,0.43,0.83,0.83,1,-9.31134,-67.21637,209,42198
Apyterewa,0.8,0.96,0.61,0.18,0.78,0.61,0.6,-5.71241,-52.03622,729,773470
Araçá,1,0.92,0.77,1,0.83,0.78,0.63,3.6463,-61.10471,2016,50018
Araguaia,0.8,0.88,0.81,0.51,0.61,0.61,0.6,-11.82111,-50.32098,3502,1358500
Arara,1,0.82,0.56,0.5,0.78,0.78,0.1,-3.75628,-53.08289,298,274010
Arara da Volta Grande do Xingu,1,0.95,0.54,1,0.61,0.61,0.25,-3.62656,-51.67282,143,25524
Arara do Rio  Amônia,0.45,0.92,0.87,0.4,1,0.61,0.4,-9.08294,-72.87712,434,20764
Arara do Rio Branco,0.8,0.95,0.69,0.67,0.44,0.56,0.65,-9.81814,-59.591,249,114842
Arara/Igarapé Humaitá,1,0.88,0.81,0.82,1,0.61,0.9,-8.41162,-72.38724,419,87572
Araribóia,1,0.84,0.34,0.4,0.78,0.78,1,-5.08341,-46.40071,5317,413288
Arary,1,0.99,0.79,0.61,0.78,0.78,0.1,-4.75584,-60.02942,200,40548
Araweté/Igarapé Ipixuna,1,0.97,0.91,0.4,1,0.78,0.1,-4.84673,-52.46237,467,940901
Areões,0.8,0.88,0.61,0.72,0.61,0.39,0.2,-14.40664,-52.01545,1342,218515
Aripuanã,0.8,0.73,0.81,0.56,0.22,0.56,0.63,-11.52643,-59.89626,394,1603250
Aripuanã,1,0.94,0.8,0.28,0.28,0.72,0.63,-10.55606,-59.9578,352,750649
Ariramba,1,0.99,0.77,0.79,0.61,0.78,0.5,-6.11301,-62.28072,73,10357
Awá,0.8,0.52,0.62,0.4,1,1,0.5,-3.3223,-46.4362,42,116582
Bacurizinho,1,0.86,0.61,0.33,0.83,0.61,0.62,-5.9149,-45.80097,3663,82432
Bacurizinho  (reestudo),0.4,0.61,0.66,0.33,0.83,1,0.1,-6.04567,-45.89684,,51608
Badjônkôre,1,0.81,0.67,1,0.83,0.61,0.25,-8.91,-52.02193,230,221981
Baía dos Guató,0.45,0.9,0.9,0.67,0.83,1,0.21,-16.96831,-56.56847,202,19216
Bakairi,1,0.77,0.58,0.72,0.83,1,0.98,-14.30998,-54.62998,734,61405
Balaio,1,0.99,1,0.67,0.67,0.61,0.9,0.44896,-66.64405,328,257281
Banawá,0.65,1,0.76,0.4,0.83,0.83,0.6,-6.74301,-64.89448,207,192659
Barata/Livramento,1,1,0.77,0.72,0.83,0.78,0.65,3.27905,-61.06287,710,12883
Barreira da Missão,1,0.94,0.6,0.82,0.78,0.78,1,-3.41679,-64.63647,788,1772
Barreirinha,1,0.91,0.8,0.29,1,0.78,0.5,-3.2934,-48.41292,86,2374
Barro Alto,1,0.92,0.97,1,1,1,0.5,-2.77911,-67.67805,62,1937
Batelão,0.2,0.91,0.67,0.28,0.83,0.78,0.1,-11.18075,-56.60877,150,117050
Batovi,1,0.95,0.91,0.72,0.83,0.72,1,-12.97467,-53.9445,20,5159
Baú,0.8,0.95,0.66,0.72,0.61,0.67,0.65,-7.48854,-54.46416,188,1540930
Betânia,1,0.95,0.78,0.89,1,1,0.51,-3.11989,-68.02185,5341,122769
Boa Vista,1,0.99,0.52,0.72,1,0.78,0.1,-3.22877,-59.37449,54,337
Boca do Acre,1,0.92,0.56,0.72,0.61,0.61,0.98,-9.08145,-67.11839,248,26240
Bom Intento,1,0.94,0.48,1,1,0.61,0.5,-4.3544,-70.009,378,1693
Bom Jesus,1,0.91,0.78,1,0.83,0.78,0.63,3.44775,-59.84291,58,859
Boqueirão,0.8,0.96,0.82,0.5,0.83,0.56,1,3.24503,-61.29645,464,1634
Bragança/Marituba,0.5,0.89,0.55,1,0.83,1,0.4,-3.05669,-55.03674,231,13515
Cabeceira do Rio Acre,1,0.93,0.77,0.5,0.83,1,0.98,-10.84924,-69.95231,238,78515
Cacau do Tarauacá,1,0.97,0.71,0.4,1,1,0.1,-7.44465,-69.91124,230,28367
Cachoeira Seca,1,0.7,0.61,0.33,0.83,0.5,0.1,-4.31183,-54.03694,88,733688
Cacique Fontoura,0.2,0.74,0.79,0.72,0.61,0.61,0.63,-11.3581,-50.81541,489,32069
Caititu,1,0.96,0.84,0.93,0.61,0.61,1,-7.82833,-64.77758,1022,308062
Cajueiro,1,0.95,0.86,0.78,0.83,0.78,0.63,3.76547,-61.30568,168,4304
Cajuhiri Atravessado,0.65,0.89,0.75,1,0.72,0.78,0.6,-3.9838,-63.36888,51,12455
Camadeni,1,0.99,1,1,1,1,0.63,-7.21141,-67.08586,148,150930
Camicuã,1,0.97,0.8,0.43,0.61,0.61,1,-8.63915,-67.56441,454,58519
Campinas/Katukina,1,0.95,0.64,0.4,0.83,0.89,0.98,-7.8169,-72.17408,700,32623
Cana Brava,0.8,0.66,0.52,0.67,0.78,0.61,0.5,-5.60717,-45.56472,4510,137329
Canauanim,0.8,0.94,0.63,0.72,0.61,0.67,0.63,2.77405,-60.49488,1338,11182
Capoto/Jarina,0.8,0.94,0.6,0.72,1,1,0.65,-10.28654,-53.121,1388,634915
Caru,1,0.87,0.43,0.4,0.72,0.78,0.98,-3.70202,-46.33582,400,172667
Catipari/Mamoriá,1,0.99,0.81,0.57,1,0.78,0.63,-7.50736,-66.74705,197,115044
Chão Preto,0.8,0.69,0.75,1,0.83,0.61,0.1,-14.58334,-53.23576,56,12740
Coatá-Laranjal,1,0.94,0.81,0.4,0.78,0.78,1,-4.62991,-59.12254,2484,1153210
